Gene	"Gene description"	Evidence	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA tissue specific nTPM"	"RNA single cell type specificity"	"RNA single cell type distribution"	"RNA single cell type specificity score"	"RNA single cell type specific nTPM"	"RNA brain regional specificity"	"RNA brain regional distribution"	"RNA brain regional specificity score"	"RNA brain regional specific nTPM"	"TAU score - Brain"	"Single Cell Type RNA - Astrocytes [nTPM]"	"Single Cell Type RNA - dendritic cells [nTPM]"	"Single Cell Type RNA - Excitatory neurons [nTPM]"	"Single Cell Type RNA - Inhibitory neurons [nTPM]"	"Single Cell Type RNA - Microglial cells [nTPM]"	"Single Cell Type RNA - Oligodendrocyte precursor cells [nTPM]"	"Single Cell Type RNA - Oligodendrocytes [nTPM]"	"Single Cell Type RNA - Schwann cells [nTPM]"
ASTN1	"Astrotactin 1"	"Evidence at protein level"	"Tissue enhanced"	"Detected in some"		"adrenal gland: 14.4;brain: 38.7;retina: 13.6"	"Group enriched"	"Detected in some"	7	"Astrocytes: 181.4;Excitatory neurons: 211.3;Inhibitory neurons: 263.8;Oligodendrocyte precursor cells: 262.7"	"Low region specificity"	"Detected in all"			0.13	181.4	0.0	211.3	263.8	24.2	262.7	32.6	0.7
ASTN2	"Astrotactin 2"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in many"		"Astrocytes: 336.3;Excitatory neurons: 357.4;Inhibitory neurons: 970.9;Late spermatids: 230.0;Oligodendrocyte precursor cells: 844.7;Oligodendrocytes: 210.2"	"Low region specificity"	"Detected in all"			0.04	336.3	0.0	357.4	970.9	34.9	844.7	210.2	26.4
ASXL1	"ASXL transcriptional regulator 1"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			0.10	52.0	52.0	59.3	76.9	72.5	73.6	117.2	117.0
ASXL2	"ASXL transcriptional regulator 2"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			0.03	51.4	70.4	60.4	45.7	65.3	43.4	67.7	22.6
ASZ1	"Ankyrin repeat, SAM and basic leucine zipper domain containing 1"	"Evidence at protein level"	"Tissue enriched"	"Detected in single"	104	"testis: 10.4"	"Cell type enriched"	"Detected in some"	4	"Spermatocytes: 72.1"	"Low region specificity"	"Detected in some"			0.55	0.0	0.0	0.3	0.2	0.0	0.0	1.4	0.0
ATAD1	"ATPase family AAA domain containing 1"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Group enriched"	"Detected in all"	13	"Early spermatids: 846.9;Late spermatids: 1889.1"	"Low region specificity"	"Detected in all"			0.05	44.0	36.6	66.7	70.1	35.8	55.2	49.1	43.7
ATAD2	"ATPase family AAA domain containing 2"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"bone marrow: 26.2;lymphoid tissue: 27.6"	"Cell type enhanced"	"Detected in many"		"Erythroid cells: 82.2;Spermatocytes: 108.1;Spermatogonia: 71.0"	"Low region specificity"	"Detected in all"			0.25	9.0	5.9	24.8	15.7	13.4	10.8	2.6	12.5
ATAD2B	"ATPase family AAA domain containing 2B"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in many"		"Astrocytes: 88.2;Inhibitory neurons: 91.4;Oligodendrocyte precursor cells: 134.9;Oligodendrocytes: 116.6"	"Low region specificity"	"Detected in all"			0.12	88.2	53.3	58.3	91.4	81.4	134.9	116.6	22.1
ATAD3A	"ATPase family AAA domain containing 3A"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			0.09	10.2	6.4	8.5	8.0	6.3	4.2	5.7	6.9
ATAD3B	"ATPase family AAA domain containing 3B"	"Evidence at protein level"	"Low tissue specificity"	"Detected in many"			"Cell type enhanced"	"Detected in many"		"Extravillous trophoblasts: 38.8"	"Low region specificity"	"Detected in all"			0.14	16.7	8.5	12.9	12.4	8.1	4.2	7.7	4.2
ATAD3C	"ATPase family AAA domain containing 3C"	"Evidence at protein level"	"Low tissue specificity"	"Detected in many"			"Cell type enhanced"	"Detected in many"		"Alveolar cells type 1: 35.3;Alveolar cells type 2: 29.3;Distal tubular cells: 24.6;Oocytes: 62.5"	"Low region specificity"	"Detected in all"			0.27	0.6	0.0	1.0	0.5	2.7	0.9	10.1	5.4
ATAD5	"ATPase family AAA domain containing 5"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"bone marrow: 12.2"	"Cell type enhanced"	"Detected in many"		"Erythroid cells: 54.5;Spermatocytes: 72.3"	"Low region specificity"	"Detected in all"			0.30	6.5	9.7	19.7	16.7	10.7	15.6	13.9	5.0
ATAT1	"Alpha tubulin acetyltransferase 1"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"brain: 31.1"	"Cell type enhanced"	"Detected in all"		"Early spermatids: 95.6;Late spermatids: 48.4"	"Low region specificity"	"Detected in all"			0.22	13.9	5.0	7.6	10.9	5.4	15.6	12.2	3.2
ATE1	"Arginyltransferase 1"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in all"		"Oligodendrocyte precursor cells: 129.2;Oligodendrocytes: 205.1"	"Low region specificity"	"Detected in all"			0.04	72.5	18.9	97.1	89.7	70.7	129.2	205.1	24.5
ATF1	"Activating transcription factor 1"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			0.20	21.1	22.0	25.0	27.9	16.1	11.8	23.5	14.3
ATF2	"Activating transcription factor 2"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in all"		"Late spermatids: 165.2"	"Low region specificity"	"Detected in all"			0.07	45.2	31.4	83.6	68.2	51.9	71.2	79.1	43.3
ATF3	"Activating transcription factor 3"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in many"		"Basal prostatic cells: 1499.4;Glandular and luminal cells: 1529.6;Secretory cells: 1233.6"	"Low region specificity"	"Detected in all"			0.21	1.5	73.4	2.5	2.3	3.6	1.4	10.0	301.6
ATF4	"Activating transcription factor 4"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			0.06	18.3	131.4	18.5	15.9	21.5	15.6	32.3	184.7
ATF5	"Activating transcription factor 5"	"Evidence at protein level"	"Tissue enriched"	"Detected in all"	21	"liver: 2418.8"	"Cell type enriched"	"Detected in many"	5	"Hepatocytes: 1291.8"	"Low region specificity"	"Detected in all"			0.11	2.5	82.8	1.1	1.8	2.7	0.5	1.4	15.2
ATF6B	"Activating transcription factor 6 beta"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			0.12	30.0	66.4	28.5	28.7	26.8	20.3	22.5	34.0
ATF7	"Activating transcription factor 7"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in all"		"Oligodendrocytes: 132.1"	"Low region specificity"	"Detected in all"			0.10	79.0	9.7	28.0	28.4	52.8	38.2	132.1	15.8
ATF7-NPFF	"ATF7-NPFF readthrough"	"Evidence at transcript level"	"Not detected"	"Not detected"			"Low cell type specificity"	"Detected in some"			"Low region specificity"	"Detected in all"			0.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3
ATF7IP	"Activating transcription factor 7 interacting protein"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			0.09	64.4	120.6	60.5	70.7	102.9	128.3	137.6	88.1
ATG10	"Autophagy related 10"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in all"		"Late spermatids: 97.1"	"Low region specificity"	"Detected in all"			0.08	65.6	9.7	54.5	50.1	54.6	63.7	71.2	11.5
ATG12	"Autophagy related 12"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			0.10	16.1	85.8	27.5	25.4	18.8	25.0	33.0	44.5
ATG13	"Autophagy related 13"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			0.08	13.9	28.4	22.6	24.6	14.3	23.6	56.7	18.9
ATG16L1	"Autophagy related 16 like 1"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			0.29	5.0	9.9	30.0	24.5	8.1	10.8	19.9	5.4
ATG16L2	"Autophagy related 16 like 2"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"bone marrow: 135.3;lymphoid tissue: 125.9"	"Cell type enhanced"	"Detected in many"		"monocytes: 53.6;Paneth cells: 66.5"	"Low region specificity"	"Detected in all"			0.08	10.8	8.6	13.5	10.6	22.4	17.0	9.1	14.5
ATG2A	"Autophagy related 2A"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in many"		"monocytes: 67.6;Syncytiotrophoblasts: 64.6"	"Low region specificity"	"Detected in all"			0.27	19.2	20.8	7.4	8.1	5.4	6.1	6.6	13.2
ATG3	"Autophagy related 3"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in all"		"Early spermatids: 781.4;Spermatocytes: 308.4"	"Low region specificity"	"Detected in all"			0.08	9.6	35.7	11.3	10.9	10.7	12.3	31.4	94.8
ATG4A	"Autophagy related 4A cysteine peptidase"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			0.35	8.7	3.4	7.6	8.1	4.5	6.6	10.7	6.6
ATG4B	"Autophagy related 4B cysteine peptidase"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			0.06	39.0	28.2	37.2	32.4	30.4	18.9	38.2	17.9
ATG4C	"Autophagy related 4C cysteine peptidase"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enriched"	"Detected in many"	7	"Oligodendrocytes: 418.7"	"Low region specificity"	"Detected in all"			0.17	47.7	20.2	40.6	39.1	55.5	54.2	418.7	8.3
ATG4D	"Autophagy related 4D cysteine peptidase"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in many"		"Distal enterocytes: 114.4;Early spermatids: 114.6;Proximal enterocytes: 104.7;Spermatocytes: 83.7"	"Low region specificity"	"Detected in all"			0.11	8.7	35.1	8.1	8.8	4.5	4.2	7.8	7.2
ATG5	"Autophagy related 5"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			0.08	22.9	29.4	76.7	68.7	41.2	41.0	45.7	23.3
ATG7	"Autophagy related 7"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enriched"	"Detected in all"	4	"Oocytes: 847.7"	"Low region specificity"	"Detected in all"			0.08	151.7	4.8	172.8	169.1	126.1	92.9	127.7	9.8
ATG9A	"Autophagy related 9A"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in many"		"Astrocytes: 12.1;Excitatory neurons: 14.7;Inhibitory neurons: 13.5;Oligodendrocyte precursor cells: 9.0;Oligodendrocytes: 11.6"	"Low region specificity"	"Detected in all"			0.04	12.1	0.4	14.7	13.5	5.4	9.0	11.6	0.0
ATIC	"5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in many"		"Cytotrophoblasts: 179.8;Extravillous trophoblasts: 164.6"	"Low region specificity"	"Detected in all"			0.05	17.6	20.1	14.8	14.8	2.7	15.6	23.9	10.9
ATL2	"Atlastin GTPase 2"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			0.17	59.5	28.2	64.1	53.2	56.4	43.4	19.0	14.2
ATL3	"Atlastin GTPase 3"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enriched"	"Detected in all"	4	"Late spermatids: 739.5"	"Low region specificity"	"Detected in all"			0.09	15.8	26.0	13.0	11.6	16.1	15.6	33.2	42.1
ATM	"ATM serine/threonine kinase"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in all"		"NK-cells: 270.6;Oligodendrocytes: 202.6;Rod photoreceptor cells: 224.7"	"Low region specificity"	"Detected in all"			0.10	59.5	33.2	67.8	79.4	170.9	80.2	202.6	30.0
ATMIN	"ATM interactor"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Group enriched"	"Detected in all"	5	"Early spermatids: 154.4;Late spermatids: 296.6"	"Low region specificity"	"Detected in all"			0.05	10.2	19.4	15.6	16.9	3.6	7.5	15.7	11.1
ATN1	"Atrophin 1"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			0.08	72.5	8.9	23.0	28.5	22.4	16.5	16.9	21.2
ATOH1	"Atonal bHLH transcription factor 1"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	13	"intestine: 19.5"	"Cell type enriched"	"Detected in some"	30	"Intestinal goblet cells: 294.5"	"Not detected"	"Not detected"			"Not detected"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ATOH8	"Atonal bHLH transcription factor 8"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"skeletal muscle: 52.7"	"Cell type enhanced"	"Detected in many"		"Adipocytes: 119.5;Endothelial cells: 49.5"	"Low region specificity"	"Detected in all"			0.23	10.2	0.0	0.3	0.3	5.4	13.7	2.9	19.1
ATOSA	"Atos homolog A"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			0.22	57.6	48.7	77.2	86.1	54.6	68.9	115.2	34.1
ATOSB	"Atos homolog B"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in all"		"Late spermatids: 77.5"	"Low region specificity"	"Detected in all"			0.07	17.0	9.5	5.6	5.1	4.5	2.4	13.4	14.0
ATOX1	"Antioxidant 1 copper chaperone"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in all"		"Hepatocytes: 1017.3;Proximal tubular cells: 1465.4"	"Low region specificity"	"Detected in all"			0.04	7.7	77.2	6.2	8.7	4.5	5.2	21.1	121.7
ATP10D	"ATPase phospholipid transporting 10D (putative)"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in many"		"Syncytiotrophoblasts: 204.0"	"Low region specificity"	"Detected in all"			0.30	37.2	14.9	24.8	41.1	45.6	49.1	22.4	17.8
ATP11A	"ATPase phospholipid transporting 11A"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in many"		"Alveolar cells type 1: 207.7;Alveolar cells type 2: 217.0;Cone photoreceptor cells: 107.0;Glandular and luminal cells: 150.6;Oligodendrocytes: 128.7"	"Low region specificity"	"Detected in all"			0.14	21.1	10.7	33.8	31.1	46.5	31.6	128.7	12.7
ATP11B	"ATPase phospholipid transporting 11B (putative)"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in many"		"Oligodendrocytes: 123.4"	"Low region specificity"	"Detected in all"			0.10	32.8	44.3	78.8	61.6	43.8	63.7	123.4	25.0
ATP12A	"ATPase H+/K+ transporting non-gastric alpha2 subunit"	"Evidence at protein level"	"Group enriched"	"Detected in some"	4	"esophagus: 10.8;kidney: 5.2;lymphoid tissue: 14.4;placenta: 5.4;skin 1: 6.0"	"Group enriched"	"Detected in some"	10	"Basal respiratory cells: 170.2;Club cells: 58.6;Ionocytes: 212.8"	"Not detected"	"Not detected"			"Not detected"	0.9	0.0	0.9	0.7	0.9	0.9	0.6	0.0
ATP13A1	"ATPase 13A1"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in many"		"Plasma cells: 54.1"	"Low region specificity"	"Detected in all"			0.11	11.5	14.7	10.8	10.5	7.2	8.5	10.2	8.6
ATP13A3	"ATPase 13A3"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in many"		"Langerhans cells: 519.3"	"Low region specificity"	"Detected in all"			0.18	48.9	35.4	59.7	77.1	73.4	60.4	46.2	30.4
ATP13A5	"ATPase 13A5"	"Evidence at protein level"	"Group enriched"	"Detected in some"	7	"breast: 16.8;choroid plexus: 34.4;salivary gland: 11.3"	"Group enriched"	"Detected in some"	4	"Astrocytes: 35.9;Oligodendrocyte precursor cells: 24.5"	"Region enriched"	"Detected in all"	12	"choroid plexus: 81.5"	0.62	35.9	0.0	1.1	1.2	1.8	24.5	1.6	0.0
ATP1B3	"ATPase Na+/K+ transporting subunit beta 3"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in all"		"dendritic cells: 967.3;Late spermatids: 993.4;monocytes: 2234.0"	"Low region specificity"	"Detected in all"			0.14	36.2	967.3	103.9	87.5	35.8	43.4	50.9	568.9
ATP23	"ATP23 metallopeptidase and ATP synthase assembly factor homolog"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"testis: 27.0"	"Cell type enhanced"	"Detected in many"		"Early spermatids: 390.3;Late spermatids: 74.6;Spermatocytes: 138.9"	"Low region specificity"	"Detected in all"			0.12	1.9	1.2	6.3	4.3	2.7	1.9	0.7	4.0
ATP2A1	"ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 1"	"Evidence at protein level"	"Group enriched"	"Detected in many"	85	"skeletal muscle: 7952.4;tongue: 3076.1"	"Cell type enriched"	"Detected in some"	112	"Skeletal myocytes: 628.4"	"Low region specificity"	"Detected in all"			0.13	0.6	0.0	2.2	2.2	0.9	0.5	2.1	0.0
ATP2B1	"ATPase plasma membrane Ca2+ transporting 1"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"bone marrow: 93.4"	"Cell type enhanced"	"Detected in many"		"Excitatory neurons: 755.2;Langerhans cells: 522.1;monocytes: 818.5"	"Low region specificity"	"Detected in all"			0.20	86.1	74.4	755.2	267.0	120.8	181.6	85.5	234.5
ATP2B4	"ATPase plasma membrane Ca2+ transporting 4"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"smooth muscle: 170.0"	"Cell type enhanced"	"Detected in many"		"Alveolar cells type 1: 170.1;Oligodendrocyte precursor cells: 186.8"	"Low region specificity"	"Detected in all"			0.10	121.1	31.8	54.0	9.4	35.8	186.8	37.6	66.5
ATP2C1	"ATPase secretory pathway Ca2+ transporting 1"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in all"		"Astrocytes: 154.2;Excitatory neurons: 166.6;Prostatic glandular cells: 187.8"	"Low region specificity"	"Detected in all"			0.11	154.2	23.4	166.6	130.7	122.6	139.1	143.6	18.0
ATP2C2	"ATPase secretory pathway Ca2+ transporting 2"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"intestine: 36.2;skin 1: 25.3"	"Cell type enhanced"	"Detected in many"		"Alveolar cells type 2: 44.4;Basal respiratory cells: 40.6;Ciliated cells: 46.1;Club cells: 39.4;Distal enterocytes: 42.7;Enteroendocrine cells: 42.7;Intestinal goblet cells: 66.4;Ionocytes: 63.7;Oligodendrocyte precursor cells: 55.2;Undifferentiated cells: 58.4"	"Low region specificity"	"Detected in all"			0.22	4.0	0.0	7.9	1.7	0.9	55.2	2.2	0.0
ATP4B	"ATPase H+/K+ transporting subunit beta"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	152	"stomach 1: 1067.1"	"Cell type enriched"	"Detected in some"	89	"Gastric mucus-secreting cells: 166.8"	"Region enriched"	"Detected in some"	6	"choroid plexus: 7.9"	0.79	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ATP5F1A	"ATP synthase F1 subunit alpha"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"tongue: 1692.4"	"Cell type enhanced"	"Detected in all"		"Cardiomyocytes: 2262.5"	"Low region specificity"	"Detected in all"			0.15	44.0	246.2	32.3	39.8	22.4	18.4	25.5	151.0
ATP5F1B	"ATP synthase F1 subunit beta"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"skeletal muscle: 2500.0;tongue: 3080.5"	"Cell type enhanced"	"Detected in all"		"Cardiomyocytes: 2280.9"	"Low region specificity"	"Detected in all"			0.11	42.7	232.1	42.2	49.1	35.8	19.8	32.3	227.0
ATP5IF1	"ATP synthase inhibitory factor subunit 1"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in all"		"Cardiomyocytes: 4156.6;Early spermatids: 2020.1"	"Low region specificity"	"Detected in all"			0.08	26.0	147.6	37.7	42.2	25.0	20.3	38.6	103.2
ATP5ME	"ATP synthase membrane subunit e"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"skeletal muscle: 1979.6"	"Cell type enhanced"	"Detected in all"		"Cardiomyocytes: 12423.2;Hepatocytes: 3164.1;Proximal tubular cells: 2913.8"	"Low region specificity"	"Detected in all"			0.04	26.6	211.8	12.5	13.9	9.8	9.0	28.3	235.0
ATP5MF	"ATP synthase membrane subunit f"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in many"		"Distal tubular cells: 1487.5;Proximal tubular cells: 1727.5"	"Low region specificity"	"Detected in all"			0.05	0.0	195.6	0.0	0.0	0.0	0.0	0.0	208.3
ATP5MF-PTCD1	"ATP5MF-PTCD1 readthrough"	"Evidence at protein level"	"Low tissue specificity"	"Detected in many"			"Group enriched"	"Detected in some"	4	"Astrocytes: 5.6;Excitatory neurons: 3.1;Inhibitory neurons: 3.6;Melanocytes: 1.7;Microglial cells: 6.3;Oligodendrocyte precursor cells: 4.7;Oligodendrocytes: 4.7"	"Low region specificity"	"Detected in all"			0.23	5.6	0.0	3.1	3.6	6.3	4.7	4.7	0.0
